Packung,Artikel,Farbe,GrÃ¶ÃŸe,Menge
1,16481,3010,4,50
1,16525,3010,2,50
1,16540,3002,4,50
1,16555,3010,2,50
1,16748,3010,2,50
2,16396,3010,3,50
2,16481,6120,3,50
2,16551,6545,1,50
2,16551,6545,1,50
2,16748,3010,4,50
3,16481,6120,3,50
3,16525,3010,2,50
3,16589,3010,3,50
3,16748,3010,2,50
3,16770,6116,5,50
4,11432,3010,5,50
4,11432,8034,3,50
4,16111,3180,5,50
4,16222,2020,3,50
4,16397,3010,2,50
4,16550,1085,4,50
5,11432,3010,3,50
5,11432,3010,5,50
5,16518,8000,4,50
5,16550,6940,4,50
5,16555,3010,2,50
6,13059,3000,3,50
6,13059,3000,5,50
6,16609,2000,3,50
6,16609,2000,4,50
6,16609,2000,4,50
6,16609,3400,2,50
6,16609,3400,5,50
6,16609,6120,3,50
6,16609,6120,3,50
6,46331,2000,1,50
6,46331,2000,1,50
7,13059,3000,3,50
7,13059,3000,4,50
7,16609,2000,3,50
7,16609,2000,3,50
7,16609,2000,3,50
7,16609,2000,4,50
7,16609,3400,2,50
7,16609,3400,5,50
7,16609,6120,3,50
7,46331,2000,1,50
7,46331,2000,1,50
8,13378,6278,3,50
8,16397,3010,2,50
8,16550,8034,2,50
8,16554,6941,4,50
8,16589,3010,3,50
8,16597,3010,3,50
9,13378,2040,2,50
9,13378,6278,4,50
9,16519,2040,3,50
9,16522,3010,4,50
9,16588,3010,2,50
9,27012,3000,1,50
10,13378,2040,2,50
10,13378,6278,3,50
10,16481,3010,4,50
10,16748,3010,2,50
10,16748,3010,4,50
10,16748,3010,5,50
10,16770,3000,4,50
10,16785,2000,5,50
11,13378,2040,2,50
11,16174,3010,4,50
11,16551,8680,1,50
11,16555,3010,2,50
11,16588,3010,2,50
11,16589,3010,3,50
11,16748,3010,4,50
12,16481,3010,4,50
12,16481,6120,3,50
12,16487,6120,3,50
12,16525,3010,2,50
12,16770,3000,4,50
13,16111,3180,5,50
13,16174,3010,4,50
13,16519,2040,4,50
13,16588,3010,2,50
13,16748,3010,2,50
13,16748,3010,5,50
13,16785,2000,5,50
14,16481,3010,4,50
14,16519,2040,4,50
14,16554,3010,3,50
14,16596,6940,3,50
15,16481,6120,3,50
15,16481,6120,3,50
15,16487,6120,3,50
15,16748,3010,5,50
15,27012,3000,1,50
16,16487,6120,3,50
16,16540,3002,3,50
16,16550,8034,3,50
16,16597,3010,3,50
16,16748,3010,2,50
17,13378,2040,2,50
17,13378,6278,4,50
17,16540,3002,3,50
17,16550,8034,2,50
17,16551,2040,2,50
17,16554,6941,3,50
17,16785,2000,5,50
18,16609,2000,3,50
18,16609,2000,3,50
18,16609,2000,3,50
18,16609,2000,4,50
18,16609,2000,4,50
18,16609,2000,4,50
18,16609,3000,4,50
18,16609,3400,2,50
18,16609,3400,5,50
18,16609,6120,3,50
18,16609,6120,4,50
19,16746,2020,3,50
19,16746,2020,3,50
19,16746,2020,3,50
19,86242,3180,3,50
19,86242,3180,3,50
19,86243,3010,2,50
19,86243,3010,3,50
19,86749,2020,2,50
19,86749,3010,2,50
19,86749,3010,2,50
20,13059,3000,3,50
20,16609,2000,3,50
20,16609,2000,3,50
20,16609,2000,4,50
20,16609,3000,3,50
20,16609,3000,5,50
20,16609,3400,2,50
20,16609,3400,3,50
20,16609,3400,5,50
20,16609,6120,3,50
20,16609,6120,4,50
21,16609,2000,4,50
21,16609,2000,4,50
21,16609,2000,4,50
21,16609,2000,4,50
21,16609,3000,3,50
21,16609,3400,2,50
21,16609,3400,2,50
21,16609,3400,3,50
21,16609,3400,5,50
21,16609,6120,3,50
21,16609,6120,4,50
22,16095,3010,3,50
22,16396,3010,4,50
22,16524,3400,2,50
22,16524,3400,4,50
22,20787,3080,1,50
23,16163,7765,3,50
23,16525,8680,3,50
23,16588,3010,2,50
23,16748,3010,2,50
23,16770,3000,4,50
23,27012,3000,1,50
24,13378,2040,2,50
24,13378,6278,4,50
24,16174,3010,4,50
24,16589,3010,3,50
24,16597,3010,3,50
