,Artikel,Stuf03,Stuf11,Stuf12,Menge,Type/Form,Diametre
0,11432,0.0,200.0,0.0,600.0,44DK,8-9
1,13059,0.0,0.0,0.0,450.0,FORM CM,9
2,14041,6200.0,0.0,0.0,400.0,FORM A,10.5
3,14403,0.0,0.0,0.0,300.0,FORM A,10.5
4,14435,0.0,0.0,0.0,10250.0,FORM A,10.5
5,16084,0.0,0.0,0.0,450.0,44DK,8.5-9.5
6,16094,0.0,0.0,0.0,350.0,44DK,9-10
7,16095,0.0,0.0,0.0,400.0,44DK,9-10
8,16111,0.0,0.0,0.0,100.0,44DK,8.5-9.5
9,16162,0.0,0.0,0.0,300.0,44DK,8.5-9.5
10,16163,0.0,0.0,0.0,450.0,44DK,8-9
11,16174,0.0,0.0,0.0,400.0,44DK,8.5-9.5
12,16222,0.0,0.0,0.0,50.0,44DK,8-9
13,16247,0.0,0.0,0.0,100.0,44DK,8.5-9.5
14,16248,0.0,0.0,0.0,100.0,44DK,8-9
15,16396,0.0,0.0,0.0,300.0,44DK,8.5-9.5
16,16397,0.0,0.0,0.0,300.0,44DK,8-9
17,16481,0.0,0.0,0.0,550.0,44DK,8.5-9.5
18,16487,0.0,0.0,0.0,150.0,44DK,8.5-9.5
19,16501,0.0,0.0,0.0,300.0,44DK,8-9
20,16512,0.0,0.0,0.0,200.0,44DK,9-11
21,16518,0.0,0.0,0.0,350.0,44DK,9-11
22,16519,0.0,0.0,0.0,400.0,44DK,9-10
23,16522,0.0,0.0,0.0,700.0,44DK,9-11
24,16523,0.0,0.0,0.0,1150.0,44DK,9-10
25,16524,0.0,0.0,0.0,750.0,44DK,9-11
26,16525,0.0,0.0,0.0,450.0,44DK,9-10
27,16540,0.0,0.0,0.0,400.0,44DK,9-10
28,16550,0.0,0.0,0.0,700.0,44DK,9-11
29,16551,0.0,0.0,0.0,600.0,44DK,9-10
30,16554,0.0,0.0,0.0,550.0,44DK,9-11
31,16555,0.0,0.0,0.0,350.0,44DK,9-10
32,16575,0.0,0.0,0.0,300.0,44DK,9-11
33,16588,0.0,0.0,0.0,450.0,44DK,8.5-9.5
34,16589,0.0,0.0,0.0,350.0,44DK,8-9
35,16596,0.0,0.0,0.0,200.0,44DK,9-11
36,16597,0.0,0.0,0.0,400.0,44DK,9-10
37,16609,0.0,0.0,0.0,6000.0,FORM CM,9
38,16730,0.0,0.0,0.0,650.0,44DK,8-9
39,16746,0.0,0.0,0.0,1250.0,44DK,8.5-9.5
40,16748,0.0,0.0,0.0,1400.0,44DK,8.5-9.5
41,16770,0.0,0.0,0.0,350.0,44DK,8.5-9.5
42,16785,0.0,0.0,0.0,450.0,TUBE,8.5
43,16834,0.0,0.0,0.0,500.0,44DK,8-9
44,16866,0.0,0.0,0.0,300.0,44DK,8.5-9.5
45,20787,0.0,0.0,0.0,400.0,FORM CM,8.5
46,27012,0.0,0.0,0.0,500.0,FORM CM,8.5
47,46331,0.0,0.0,0.0,650.0,FORM CM,8.5
48,83055,0.0,0.0,0.0,400.0,FORM A,10.5
49,86242,800.0,500.0,600.0,550.0,44DK,8.5-9.5
50,86243,500.0,0.0,0.0,500.0,44DK,8-9
51,86473,800.0,800.0,900.0,800.0,44DK,8-9
52,86749,500.0,500.0,5000.0,1300.0,44DK,8-9
53,86864,300.0,300.0,300.0,50.0,44DK,8.5-9.5
54,13378,0.0,0.0,0.0,1350.0,TUBE,8.5
